epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.23715,1.58366,3.0079,1.85859,0.00333,1,0.73318,0.49184,1.18609,3.03854,1.52451,2e-05,2e-05,2e-05
2,5.89435,1.89245,2.97404,1.89066,0.00333,1,0.77056,0.48885,1.19668,3.03479,1.47312,5.92575e-05,5.92575e-05,5.92575e-05
3,7.06876,2.00515,3.04951,1.88439,0.00333,1,0.79192,0.51616,1.15219,2.98295,1.45773,9.7525e-05,9.7525e-05,9.7525e-05
4,8.1945,1.51344,3.07311,1.94401,0.00333,1,0.87833,0.57771,1.00257,3.01976,1.35032,0.000134803,0.000134803,0.000134803
5,9.4317,1.65825,2.82424,2.01463,0.00333,1,0.82611,0.5614,1.05424,2.98242,1.29608,0.00017109,0.00017109,0.00017109
6,10.7386,1.27533,2.62244,1.45458,0.00333,1,0.92,0.65407,0.99018,3.0306,1.29138,0.000206388,0.000206388,0.000206388
7,11.9983,1.15992,2.73878,1.5008,0.00333,1,0.85056,0.57008,1.05795,3.06885,1.43348,0.000240695,0.000240695,0.000240695
8,13.0724,0.96476,2.36698,1.36705,0.00333,1,0.92833,0.48623,1.2212,3.20386,1.6602,0.000274012,0.000274012,0.000274012
9,14.1146,0.98592,2.18299,1.1785,0.00333,1,0.92833,0.48718,1.2214,3.19786,1.65735,0.00030634,0.00030634,0.00030634
10,15.1755,1.03577,2.37269,1.54529,0.00333,1,0.845,0.48794,1.11778,3.11163,1.57917,0.000337677,0.000337677,0.000337677
11,16.2149,1.15804,2.0684,1.37419,0.00333,1,0.92833,0.58372,0.98517,2.96541,1.51242,0.000368025,0.000368025,0.000368025
12,17.2399,1.20644,1.99418,1.34934,0.00333,1,0.995,0.68832,1.07245,2.86989,1.69709,0.000397383,0.000397383,0.000397383
13,18.2882,0.97936,1.94661,1.36749,0.00333,1,0.995,0.61774,1.07764,2.92007,1.75002,0.00042575,0.00042575,0.00042575
14,19.3315,1.05873,1.69206,1.24193,0.00333,1,0.995,0.59601,1.08133,2.67432,1.64293,0.000453128,0.000453128,0.000453128
15,20.3727,1.1498,2.42015,1.41337,0.00333,1,0.995,0.67972,0.95982,2.73301,1.41255,0.000479515,0.000479515,0.000479515
16,21.4028,1.26709,2.13424,1.53845,0.00878,1,0.995,0.71035,0.83534,2.72807,1.38991,0.000504913,0.000504913,0.000504913
17,22.4403,1.26428,1.78329,1.70885,0.01959,1,0.96167,0.66927,0.85906,2.70322,1.42741,0.00052932,0.00052932,0.00052932
