epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,120.539,0.97797,0.73427,1.2252,0.98888,0.95238,0.95679,0.646,1.16391,0.7649,1.49362,0.00165689,0.00165689,0.00165689
43,123.599,0.93547,0.75407,1.15381,1,0.99214,0.995,0.7072,1.06352,0.60987,1.47578,0.00164105,0.00164105,0.00164105
44,126.398,0.88468,0.6752,1.17002,0.94922,1,0.995,0.71654,0.97365,0.77441,1.43877,0.00162494,0.00162494,0.00162494
45,129.037,0.98993,0.74611,1.23532,0.96085,1,0.995,0.74419,0.94597,0.82922,1.34965,0.00160855,0.00160855,0.00160855
46,131.669,0.97177,0.70105,1.1903,1,0.9871,0.995,0.71745,1.09144,0.73262,1.44534,0.00159191,0.00159191,0.00159191
47,134.29,0.93024,0.68258,1.15971,0.94471,1,0.98455,0.74562,1.02759,0.74102,1.42132,0.00157501,0.00157501,0.00157501
48,137.021,0.85805,0.67728,1.13988,0.98604,1,0.995,0.72455,1.0047,0.74059,1.38988,0.00155786,0.00155786,0.00155786
49,139.654,0.8853,0.64205,1.12622,0.93704,1,0.965,0.74001,0.9287,0.78014,1.35515,0.00154047,0.00154047,0.00154047
50,142.243,0.82782,0.70529,1.13433,0.89738,1,0.995,0.75893,0.88091,0.95482,1.28832,0.00152285,0.00152285,0.00152285
51,144.881,0.88501,0.67376,1.18077,0.99019,1,0.995,0.77172,0.90357,0.61905,1.30537,0.001505,0.001505,0.001505
52,147.796,0.89053,0.65006,1.1661,0.9544,0.9969,0.98227,0.67963,1.0673,0.69672,1.45178,0.00148694,0.00148694,0.00148694
53,150.475,0.91011,0.68003,1.18675,0.99646,1,0.995,0.67217,1.18124,0.74909,1.61972,0.00146866,0.00146866,0.00146866
54,153.092,0.90261,0.65516,1.19931,0.99387,1,0.995,0.75211,0.90812,0.52466,1.35242,0.00145019,0.00145019,0.00145019
55,155.85,0.89722,0.63466,1.16978,0.95397,0.98732,0.99318,0.73447,0.93388,0.50386,1.36621,0.00143152,0.00143152,0.00143152
56,158.722,0.9662,0.6623,1.15857,1,0.99926,0.995,0.74169,0.9529,0.48896,1.30277,0.00141267,0.00141267,0.00141267
57,161.509,0.96865,0.71044,1.14763,0.84783,0.80952,0.93267,0.54838,1.10694,1.25969,1.51625,0.00139364,0.00139364,0.00139364
58,164.145,0.9064,0.69709,1.15219,0.90808,0.80952,0.93285,0.53679,1.10104,1.33853,1.58769,0.00137444,0.00137444,0.00137444
59,166.818,0.85608,0.63288,1.10984,0.99057,1,0.995,0.79049,0.84283,0.49952,1.32544,0.00135509,0.00135509,0.00135509
60,169.599,0.8065,0.58651,1.09647,0.90943,1,0.99318,0.78831,0.9449,0.61841,1.38058,0.00133558,0.00133558,0.00133558
61,172.213,0.88835,0.64371,1.13702,0.90917,1,0.95962,0.65315,1.18882,0.86824,1.5366,0.00131593,0.00131593,0.00131593
62,174.855,0.932,0.67903,1.13618,0.93882,1,0.98,0.69004,1.11777,0.78839,1.43064,0.00129614,0.00129614,0.00129614
63,177.435,0.90902,0.64248,1.18934,0.93772,1,0.99091,0.77212,0.83956,0.6662,1.2824,0.00127623,0.00127623,0.00127623
64,180.083,0.85492,0.62493,1.18038,0.94305,1,0.99091,0.77129,0.86524,0.57473,1.32789,0.0012562,0.0012562,0.0012562
65,182.674,0.84274,0.57913,1.14587,1,0.99582,0.995,0.75837,0.92926,0.53889,1.38686,0.00123607,0.00123607,0.00123607
66,185.393,0.85212,0.56543,1.14337,0.99435,1,0.995,0.76075,0.93588,0.51792,1.37047,0.00121583,0.00121583,0.00121583
67,187.991,0.88828,0.59292,1.13683,0.99583,1,0.995,0.79471,0.91588,0.48227,1.33363,0.00119551,0.00119551,0.00119551
68,190.628,0.84484,0.59152,1.10553,0.99647,1,0.995,0.78549,0.79166,0.42509,1.24903,0.0011751,0.0011751,0.0011751
69,193.215,0.87341,0.59165,1.16206,0.9957,1,0.995,0.71378,0.96254,0.47206,1.30791,0.00115462,0.00115462,0.00115462
70,195.834,0.81297,0.53369,1.12542,0.99615,1,0.995,0.73397,0.83951,0.42438,1.26263,0.00113408,0.00113408,0.00113408
71,198.435,0.83172,0.5751,1.14254,0.99703,1,0.995,0.75584,0.85227,0.43724,1.29326,0.00111348,0.00111348,0.00111348
72,201.082,0.82286,0.55834,1.11765,1,0.98882,0.995,0.764,0.94456,0.5135,1.36802,0.00109284,0.00109284,0.00109284
73,203.674,0.84666,0.57182,1.12383,1,0.99313,0.995,0.7475,0.9995,0.52664,1.46241,0.00107216,0.00107216,0.00107216
74,206.301,0.84032,0.54154,1.15437,0.99486,1,0.995,0.77753,0.8891,0.44807,1.33469,0.00105146,0.00105146,0.00105146
75,209.015,0.77916,0.53802,1.07897,0.99703,1,0.995,0.81314,0.86448,0.43725,1.29718,0.00103073,0.00103073,0.00103073
76,211.713,0.8106,0.55292,1.15654,0.99726,1,0.995,0.79583,0.8687,0.43295,1.27678,0.00101,0.00101,0.00101
77,214.518,0.80803,0.52667,1.09121,0.99683,1,0.995,0.78444,0.82161,0.41987,1.25791,0.000989267,0.000989267,0.000989267
78,217.249,0.85433,0.54369,1.11955,0.99667,1,0.995,0.80492,0.8242,0.43729,1.28045,0.000968543,0.000968543,0.000968543
79,219.857,0.82552,0.52188,1.15383,0.95102,1,0.99318,0.80345,0.86471,0.43408,1.31183,0.000947837,0.000947837,0.000947837
80,222.602,0.76655,0.49637,1.07243,0.99403,1,0.995,0.80233,0.80498,0.41988,1.26388,0.000927159,0.000927159,0.000927159
81,225.228,0.76106,0.49721,1.13997,0.99591,1,0.995,0.80867,0.84315,0.4137,1.28255,0.000906517,0.000906517,0.000906517
82,227.848,0.79821,0.48693,1.11122,0.99603,1,0.995,0.7896,0.8743,0.39581,1.29031,0.00088592,0.00088592,0.00088592
83,230.51,0.80476,0.51516,1.11261,0.9961,1,0.995,0.81624,0.84339,0.41541,1.29916,0.000865378,0.000865378,0.000865378
84,233.222,0.71123,0.5254,1.09559,0.99641,1,0.995,0.81181,0.86345,0.43292,1.30781,0.000844899,0.000844899,0.000844899
85,235.84,0.76764,0.53346,1.07305,0.99651,1,0.995,0.82354,0.81525,0.41637,1.27605,0.000824492,0.000824492,0.000824492
86,238.501,0.7813,0.52283,1.10856,0.99584,1,0.995,0.81712,0.84145,0.39623,1.29572,0.000804167,0.000804167,0.000804167
87,241.171,0.83637,0.50715,1.1615,0.99636,1,0.995,0.8152,0.84561,0.3904,1.30712,0.000783933,0.000783933,0.000783933
88,243.819,0.77733,0.52586,1.13062,0.99634,1,0.995,0.80323,0.83957,0.39652,1.29651,0.000763797,0.000763797,0.000763797
89,246.601,0.79841,0.53663,1.1166,0.99609,1,0.995,0.79804,0.84126,0.39666,1.27608,0.000743769,0.000743769,0.000743769
90,249.26,0.70477,0.47383,1.04523,0.99705,1,0.995,0.81886,0.82147,0.37704,1.23847,0.000723859,0.000723859,0.000723859
91,251.914,0.69315,0.47482,1.08104,0.99727,1,0.995,0.81981,0.78843,0.3728,1.2275,0.000704073,0.000704073,0.000704073
92,254.593,0.7437,0.55623,1.11327,0.99695,1,0.995,0.81612,0.77549,0.3927,1.19322,0.000684422,0.000684422,0.000684422
93,257.22,0.75504,0.45955,1.06806,0.99693,1,0.995,0.81322,0.78264,0.41032,1.18648,0.000664914,0.000664914,0.000664914
94,259.855,0.74757,0.49657,1.05303,0.99709,1,0.995,0.81247,0.79801,0.38954,1.19911,0.000645557,0.000645557,0.000645557
