epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.00589,1.08005,3.0971,1.34561,0.0025,1,0.6637,0.42487,0.96033,3.26098,1.44389,0.0001,0.0001,0.0001
2,7.20359,1.24008,2.92444,1.44906,0.0025,1,0.87238,0.56666,0.93065,3.35015,1.35987,0.000219976,0.000219976,0.000219976
3,9.35458,1.01348,2.3298,1.35357,0.0025,1,0.97833,0.59332,0.95271,3.2907,1.40126,0.000339852,0.000339852,0.000339852
4,11.3238,1.09355,1.91496,1.33075,0.0025,1,0.98921,0.65097,0.98229,3.06674,1.41841,0.000459551,0.000459551,0.000459551
5,13.3385,1.1243,1.75087,1.37618,0.0025,1,0.92839,0.50953,1.07751,3.1789,1.43866,0.000578993,0.000578993,0.000578993
6,15.3187,1.17527,1.54789,1.30238,1,0.40882,0.88964,0.57225,1.19687,3.0767,1.66156,0.000698102,0.000698102,0.000698102
7,17.4227,1.11438,1.73037,1.3345,0.0025,1,0.62892,0.38744,1.21269,3.38353,1.72025,0.000816799,0.000816799,0.000816799
8,19.372,1.12217,1.71764,1.29691,1,0.71876,0.94294,0.53196,1.15674,3.07843,1.8412,0.000935008,0.000935008,0.000935008
9,21.3008,1.13886,1.86,1.33232,0.52314,0.16667,0.31592,0.14057,1.30879,3.54204,1.90499,0.00105265,0.00105265,0.00105265
10,23.1946,1.18582,1.65171,1.42888,0.76083,0.88889,0.88574,0.44829,1.2974,2.89734,1.76038,0.00116965,0.00116965,0.00116965
11,25.076,1.1802,1.63245,1.31182,0.84696,0.66667,0.79347,0.37585,1.32906,3.05723,1.79839,0.00128594,0.00128594,0.00128594
12,27.0402,1.13421,1.41911,1.30022,0.63147,0.57186,0.62108,0.36956,1.42779,3.22631,2.02262,0.00140143,0.00140143,0.00140143
13,29.0397,1.14173,1.42562,1.29408,0.11849,0.33333,0.12323,0.06151,1.19937,3.26172,1.76811,0.00151605,0.00151605,0.00151605
14,30.9685,1.16871,1.34919,1.3244,0.67856,0.58728,0.6407,0.33787,1.4117,2.94808,2.50779,0.00162973,0.00162973,0.00162973
15,32.8363,1.10994,1.53353,1.28437,0.85524,0.55556,0.795,0.45374,1.35856,2.66221,2.16257,0.00174239,0.00174239,0.00174239
16,34.7879,1.02064,1.27664,1.25252,0.08242,0.16667,0.05197,0.0262,2.31518,4.25602,2.67164,0.00185397,0.00185397,0.00185397
17,36.6338,1.11015,1.29529,1.27442,0.463,0.27778,0.29075,0.18263,1.49291,3.29759,2.12912,0.00194493,0.00194493,0.00194493
18,38.5438,1.16193,1.31314,1.30136,0.34335,0.38889,0.32632,0.24232,1.27672,3.00644,1.74634,0.00193791,0.00193791,0.00193791
19,40.3769,1.18808,1.31729,1.29973,0.39368,0.28924,0.25656,0.16456,1.35731,2.98098,1.90012,0.00193048,0.00193048,0.00193048
20,42.3396,1.151,1.25436,1.2898,0.04061,0.33333,0.03662,0.01066,2.65403,4.51615,3.01046,0.00192264,0.00192264,0.00192264
21,44.2485,1.04971,1.14633,1.28083,0.30128,0.27778,0.2107,0.09586,2.11449,3.7801,2.47804,0.00191441,0.00191441,0.00191441
22,46.2224,1.06254,1.13343,1.2602,0.35468,0.38889,0.24596,0.04436,3.09152,4.36705,3.93133,0.00190578,0.00190578,0.00190578
23,48.0821,0.99321,1.07204,1.22792,0.76482,0.54283,0.56926,0.10018,2.91787,3.37649,4.0149,0.00189675,0.00189675,0.00189675
24,49.9985,1.04811,1.11262,1.2486,0.65779,0.64151,0.6833,0.26122,1.76789,2.88474,2.74073,0.00188734,0.00188734,0.00188734
25,51.9492,0.93768,1.06179,1.2234,0.65918,0.88889,0.72683,0.35106,1.5997,2.58996,2.63684,0.00187754,0.00187754,0.00187754
26,53.8283,1.12112,1.08776,1.2601,0.74458,0.88889,0.88347,0.62667,1.00439,2.94736,1.57113,0.00186737,0.00186737,0.00186737
27,55.687,1.14875,1.03499,1.37483,0.88519,0.77778,0.90912,0.59787,1.20151,3.34193,1.71102,0.00185681,0.00185681,0.00185681
28,57.5723,1.0251,0.9517,1.18394,0.52648,0.74172,0.76622,0.55113,1.1133,3.73336,1.71986,0.00184588,0.00184588,0.00184588
29,59.406,1.14118,0.97653,1.29841,0.928,0.71649,0.84356,0.53665,1.16178,2.67469,1.82396,0.00183459,0.00183459,0.00183459
30,61.4241,1.08661,0.96638,1.30682,0.5257,0.83333,0.61378,0.2594,1.6386,3.04015,2.38961,0.00182294,0.00182294,0.00182294
31,63.395,1.12606,0.99447,1.24015,0.3487,0.77778,0.40172,0.19343,1.48727,2.94505,2.14509,0.00181093,0.00181093,0.00181093
32,65.2785,1.12248,0.98121,1.2466,0.44775,0.55556,0.41737,0.16469,1.6087,2.62532,2.10153,0.00179856,0.00179856,0.00179856
33,67.2641,1.08383,0.97564,1.33041,0.48811,0.55556,0.58039,0.32594,1.37637,2.21193,1.91967,0.00178586,0.00178586,0.00178586
34,69.2363,1.00531,0.87691,1.18446,0.86778,0.88889,0.9452,0.62485,1.0605,1.24173,1.52965,0.00177281,0.00177281,0.00177281
