epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.11332,1.51212,2.84047,1.85215,0.00333,1,0.7335,0.43575,1.27435,3.05302,1.81534,4e-05,4e-05,4e-05
2,7.48838,1.62003,2.8656,1.76593,0.00333,1,0.75238,0.48158,1.14663,3.02087,1.59583,9.99891e-05,9.99891e-05,9.99891e-05
3,9.79105,1.33882,2.87855,1.62297,0.00333,1,0.93469,0.67721,0.89948,2.9635,1.37499,0.000159931,0.000159931,0.000159931
4,11.6428,1.03146,2.3969,1.32752,0.00333,1,0.979,0.72678,0.72791,2.9568,1.23401,0.000219785,0.000219785,0.000219785
5,13.5634,0.92575,2.0588,1.19423,0.00333,1,0.995,0.68689,0.82147,2.92184,1.30475,0.000279514,0.000279514,0.000279514
6,14.9287,1.02554,1.94987,1.39539,0.00333,1,0.995,0.71341,0.87882,2.87383,1.37105,0.000339078,0.000339078,0.000339078
7,16.5371,1.0902,1.85395,1.33551,0.00333,1,0.995,0.69682,1.1185,2.87793,1.73583,0.000398439,0.000398439,0.000398439
8,17.8254,1.10902,1.64849,1.35351,0.00333,1,0.995,0.68581,0.92302,2.82837,1.5281,0.000457557,0.000457557,0.000457557
9,19.1465,0.91493,1.59058,1.25293,0.00333,1,0.995,0.72377,0.91434,2.73491,1.48986,0.000516395,0.000516395,0.000516395
10,20.4117,1.13069,1.4517,1.45766,0.54222,1,0.995,0.72397,0.992,2.62449,1.63414,0.000574915,0.000574915,0.000574915
11,21.6907,0.99606,1.26585,1.27502,1,0.93554,0.995,0.71431,0.96399,2.46177,1.59058,0.000633077,0.000633077,0.000633077
12,22.9182,1.15394,1.38436,1.40181,1,0.9579,0.995,0.68495,0.99066,2.33807,1.67432,0.000690845,0.000690845,0.000690845
13,24.1697,0.97271,1.26346,1.32005,1,0.76985,0.98269,0.58822,1.14202,2.58334,1.66229,0.000748181,0.000748181,0.000748181
14,25.3782,1.05235,1.3882,1.3151,1,0.73053,0.95285,0.66499,0.96338,2.56853,1.54695,0.000805048,0.000805048,0.000805048
15,26.6882,1.06024,1.5778,1.35514,0.8454,0.91176,0.92194,0.64671,1.1017,2.04676,2.13026,0.000861408,0.000861408,0.000861408
16,27.8849,1.05203,1.28305,1.32846,0.8525,0.75,0.79045,0.48903,1.38035,2.40222,2.3796,0.000917227,0.000917227,0.000917227
17,29.161,1.1289,1.60363,1.40228,0.49937,0.74822,0.4374,0.25841,1.27072,3.00553,2.08895,0.000972466,0.000972466,0.000972466
18,30.4876,1.12257,1.39815,1.31495,0.4447,0.58333,0.50146,0.3498,1.24096,2.8862,1.98034,0.00102709,0.00102709,0.00102709
19,32.4097,1.15415,1.42566,1.44839,0.87152,0.58333,0.77079,0.48472,1.3194,2.66989,1.85014,0.00108107,0.00108107,0.00108107
20,34.2858,1.01847,1.23646,1.28104,0.64848,0.83333,0.78003,0.44267,1.56699,2.46952,2.0708,0.00113436,0.00113436,0.00113436
21,36.3771,1.07033,1.19846,1.2963,0.76278,0.66667,0.76732,0.41772,1.36094,2.49277,1.97069,0.00118693,0.00118693,0.00118693
22,38.1311,1.11774,1.24672,1.39552,0.81319,0.83333,0.86959,0.50297,1.33854,2.26105,2.03308,0.00123876,0.00123876,0.00123876
23,39.8993,1.04669,1.15924,1.31275,0.84562,0.9132,0.80791,0.35757,1.66444,2.51046,2.56343,0.00128979,0.00128979,0.00128979
24,41.8483,1.09009,1.14846,1.29474,0.84573,0.91392,0.83957,0.5171,1.22117,2.1361,1.80664,0.00134001,0.00134001,0.00134001
25,43.7252,1.1358,1.32014,1.45834,0.7742,0.91667,0.84388,0.49578,1.33202,2.01204,1.93598,0.00138938,0.00138938,0.00138938
26,45.5434,1.09494,1.11171,1.3343,0.83326,0.83293,0.9033,0.59859,1.20085,2.06586,1.6263,0.00143787,0.00143787,0.00143787
27,47.4251,1.03027,1.23168,1.27792,0.79728,1,0.9419,0.60893,1.2141,2.23951,1.79454,0.00148545,0.00148545,0.00148545
28,49.2997,1.09129,1.20465,1.34011,0.64693,0.83333,0.65772,0.4231,1.26565,2.44686,1.86458,0.00153208,0.00153208,0.00153208
29,51.0054,1.05968,1.07292,1.27833,0.64693,0.83333,0.65772,0.4231,1.26565,2.44686,1.86458,0.00157775,0.00157775,0.00157775
30,52.8065,1.03867,1.11953,1.23836,0.35894,0.66667,0.35219,0.15272,1.5801,3.06998,2.23796,0.00162241,0.00162241,0.00162241
31,54.6638,1.06345,1.12783,1.27731,0.34184,0.64985,0.433,0.19394,1.70809,2.87012,2.59645,0.00166605,0.00166605,0.00166605
32,56.6046,1.11511,1.11927,1.38749,0.44247,0.59586,0.40101,0.16969,2.1273,2.92749,3.07131,0.00170864,0.00170864,0.00170864
33,58.3272,1.05837,1.04083,1.27007,0.44247,0.59586,0.40101,0.16969,2.1273,2.92749,3.07131,0.00175014,0.00175014,0.00175014
34,60.0569,0.97505,1.11824,1.27075,0.16046,0.58333,0.1863,0.07954,1.64685,2.98053,2.24599,0.00177281,0.00177281,0.00177281
