epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,41.7996,1.15267,1.2325,1.284,0.15206,0.33333,0.16938,0.04071,2.99204,5.08323,3.96975,0.000816425,0.000816425,0.000816425
44,42.7003,1.01519,0.98225,1.19079,0.22657,0.33333,0.15714,0.10554,2.02148,5.41684,2.85311,0.000814102,0.000814102,0.000814102
45,43.5781,1.49563,1.62655,1.7119,0.22657,0.33333,0.15714,0.10554,2.02148,5.41684,2.85311,0.00081079,0.00081079,0.00081079
46,44.4784,1.03671,1.12119,1.22239,0.12586,0.33333,0.13025,0.04877,2.33916,4.40042,3.03665,0.000806487,0.000806487,0.000806487
47,45.3382,1.15879,1.11495,1.44494,0.12586,0.33333,0.13025,0.04877,2.33916,4.40042,3.03665,0.000801195,0.000801195,0.000801195
48,46.2489,1.02573,1.02879,1.20967,0.09346,0.5,0.1082,0.04698,2.45008,4.55443,3.26387,0.000794913,0.000794913,0.000794913
49,47.1249,1.17105,1.15092,1.30533,0.09346,0.5,0.1082,0.04698,2.45008,4.55443,3.26387,0.00078764,0.00078764,0.00078764
50,48.0257,1.0889,1.01784,1.2583,0.34139,0.83333,0.39072,0.14226,2.12215,3.50757,2.82085,0.000779377,0.000779377,0.000779377
51,48.88,1.09963,1.06604,1.29283,0.34139,0.83333,0.39072,0.14226,2.12215,3.50757,2.82085,0.0007625,0.0007625,0.0007625
52,49.7836,1.03096,1.0671,1.2001,0.96037,1,0.995,0.57683,1.39929,1.96694,1.9744,0.00073775,0.00073775,0.00073775
53,50.6795,1.005,0.99012,1.15042,0.96037,1,0.995,0.57683,1.39929,1.96694,1.9744,0.000713,0.000713,0.000713
